id,sentence,script_type
1,我們試試看！,traditional
2,我该去睡觉了。,simplified
3,你在干什麼啊？,traditional
4,這是什麼啊？,traditional
5,今天是６月１８号，也是Muiriel的生日！,neutral
6,生日快乐，Muiriel！,neutral
7,Muiriel现在20岁了。,simplified
8,"密码是""Muiriel""。",simplified
9,我很快就會回來。,traditional
10,我不知道。,neutral
11,我不知道應該說什麼才好。,traditional
12,這個永遠完不了了。,traditional
13,我只是不知道應該說什麼而已……,traditional
14,那是一隻有惡意的兔子。,traditional
15,我以前在山里。,neutral
16,那是一张近照吗？,simplified
17,我不知道我有沒有時間。,traditional
18,剛才我的麥克風沒起作用，不知道為什麼。,traditional
19,到了最後，大家一定要靠自己學習。,traditional
20,世界上的教育都讓我失望。,traditional
21,选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。,simplified
22,這樣做的話什麼都不會改變的。,traditional
23,這個要三十歐元。,traditional
24,我一天賺一百歐元。,traditional
25,也许我会马上放弃然后去打盹。,simplified
26,那是不會發生的。,traditional
27,我会尽量不打扰你复习。,simplified
28,不要擔心。,traditional
29,我很想你。,neutral
30,我明天回來的時候會跟他們聯絡。,traditional
31,我一直都比較喜歡神秘一點的人物。,traditional
32,你應該去睡覺了吧。,traditional
33,我要走了。,neutral
34,我請他們再寄給我一張票。,traditional
35,我不能这样活着。,simplified
36,我曾經想過當個太空物理學家。,traditional
37,我從來沒喜歡過生物學。,traditional
38,可惜这是真的。,neutral
39,大部份的人覺得我瘋了。,traditional
40,不，我不是！你才是！,neutral
41,那是我該說的話!,traditional
42,他在踢我！,neutral
43,你肯定吗？,simplified
44,那就表示有問題...,traditional
45,哦！有一隻蝴蝶！,traditional
46,趕快!,traditional
47,如果我可以像那樣的話...,traditional
48,你是在跟我開玩笑吧？！,traditional
49,我長大後想當國王。,traditional
50,我好胖哦。,neutral
51,那又怎樣?,traditional
52,我要把他射下來。,traditional
53,那是因為妳是女生。,traditional
54,我会不高兴，但我不会自杀。,simplified
55,以前讀高中的時候﹐我每天早上六點起床。,traditional
56,你問這個幹什麼?,traditional
57,你待了多久?,neutral
