id,sentence,script_type,char_pinyin_pairs,english_translation,sentence_hsk_level
1,我們試試看！,traditional,我:wo3|們:men|試:shi4|試:shi4|看:kan4|！:,Let's give it a try!,1
2,我该去睡觉了。,simplified,我:wo3|该:gai1|去:qu4|睡:shui4|觉:jiao4|了:le|。:,I should go to bed now.,2
3,你在干什麼啊？,traditional,你:ni3|在:zai4|干:gan4|什:shen2|麼:me|啊:a|？:,What are you doing?,2
4,這是什麼啊？,traditional,這:zhe4|是:shi4|什:shen2|麼:me|啊:a|？:,What is this?,2
5,今天是６月１８号，也是Muiriel的生日！,neutral,今:jin1|天:tian1|是:shi4|６:|月:yue4|１８:|号:hao4|，:|也:ye3|是:shi4|Muiriel:|的:de|生:sheng1|日:ri4|！:,"Today is June 18th, and it's Muiriel's birthday!",1
6,生日快乐，Muiriel！,neutral,生:sheng1|日:ri4|快:kuai4|乐:le4|，:|Muiriel:|！:,"Happy birthday, Muiriel!",2
7,Muiriel现在20岁了。,simplified,Muiriel:|现:xian4|在:zai4|20:|岁:sui4|了:le|。:,Muiriel is 20 now.,1
8,"密码是""Muiriel""。",simplified,"密:mi4|码:ma3|是:shi4|"":|Muiriel:|"":|。:","The password is ""Muiriel.""",4
9,我很快就會回來。,traditional,我:wo3|很:hen3|快:kuai4|就:jiu4|會:hui4|回:hui2|來:lai2|。:,I will be back soon.,1
10,我不知道。,neutral,我:wo3|不:bu4|知:zhi1|道:dao4|。:,I don't know.,1
11,我不知道應該說什麼才好。,traditional,我:wo3|不:bu4|知:zhi1|道:dao4|應:ying1|該:gai1|說:shuo1|什:shen2|麼:me|才:cai2|好:hao3|。:,I don't know what to say.,2
12,這個永遠完不了了。,traditional,這:zhe4|個:ge4|永:yong3|遠:yuan3|完:wan2|不:bu4|了:liao3|了:le|。:,This will never be finished.,2
13,我只是不知道應該說什麼而已……,traditional,我:wo3|只:zhi3|是:shi4|不:bu4|知:zhi1|道:dao4|應:ying1|該:gai1|說:shuo1|什:shen2|麼:me|而:er2|已:yi3|…:|…:,I just don't know what to say...,2
14,那是一隻有惡意的兔子。,traditional,那:na4|是:shi4|一:yi1|隻:zhi1|有:you3|惡:e4|意:yi4|的:de|兔:tu4|子:zi|。:,That's a malicious rabbit.,5
15,我以前在山里。,neutral,我:wo3|以:yi3|前:qian2|在:zai4|山:shan1|里:li3|。:,I used to be in the mountains.,2
16,那是一张近照吗？,simplified,那:na4|是:shi4|一:yi1|张:zhang1|近:jin4|照:zhao4|吗:ma|？:,Is that a close-up photo?,3
17,我不知道我有沒有時間。,traditional,我:wo3|不:bu4|知:zhi1|道:dao4|我:wo3|有:you3|沒:mei2|有:you3|時:shi2|間:jian1|。:,I don't know if I have time.,1
18,剛才我的麥克風沒起作用，不知道為什麼。,traditional,剛:gang1|才:cai2|我:wo3|的:de|麥:mai4|克:ke4|風:feng1|沒:mei2|起:qi3|作:zuo4|用:yong4|，:|不:bu4|知:zhi1|道:dao4|為:wei4|什:shen2|麼:me|。:,"My microphone didn't work just now, I don't know why.",6
19,到了最後，大家一定要靠自己學習。,traditional,到:dao4|了:le|最:zui4|後:hou4|，:|大:da4|家:jia1|一:yi2|定:ding4|要:yao4|靠:kao4|自:zi4|己:ji3|學:xue2|習:xi2|。:,"In the end, everyone must rely on themselves to learn.",2
20,世界上的教育都讓我失望。,traditional,世:shi4|界:jie4|上:shang4|的:de|教:jiao4|育:yu4|都:dou1|讓:rang4|我:wo3|失:shi1|望:wang4|。:,Education in the world has disappointed me.,3
21,选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。,simplified,选:xuan3|择:ze2|什:shen2|么:me|是:shi4|“:|对:dui4|”:|或:huo4|“:|错:cuo4|”:|是:shi4|一:yi1|项:xiang4|艰:jian1|难:nan2|的:de|任:ren4|务:wu4|，:|我:wo3|们:men|却:que4|必:bi4|须:xu1|要:yao4|完:wan2|成:cheng2|它:ta1|。:,"Choosing what is ""right"" or ""wrong"" is a difficult task, but we must complete it.",5
22,這樣做的話什麼都不會改變的。,traditional,這:zhe4|樣:yang4|做:zuo4|的:de|話:hua4|什:shen2|麼:me|都:dou1|不:bu4|會:hui4|改:gai3|變:bian4|的:de|。:,Nothing will change if you do it this way.,2
23,這個要三十歐元。,traditional,這:zhe4|個:ge4|要:yao4|三:san1|十:shi2|歐:ou1|元:yuan2|。:,This costs thirty euros.,7-9
24,我一天賺一百歐元。,traditional,我:wo3|一:yi1|天:tian1|賺:zhuan4|一:yi4|百:bai3|歐:ou1|元:yuan2|。:,I earn one hundred euros a day.,7-9
25,也许我会马上放弃然后去打盹。,simplified,也:ye3|许:xu3|我:wo3|会:hui4|马:ma3|上:shang4|放:fang4|弃:qi4|然:ran2|后:hou4|去:qu4|打:da3|盹:dun3|。:,Maybe I'll give up right away and take a nap.,7-9
26,那是不會發生的。,traditional,那:na4|是:shi4|不:bu4|會:hui4|發:fa1|生:sheng1|的:de|。:,That won't happen.,2
27,我会尽量不打扰你复习。,simplified,我:wo3|会:hui4|尽:jin3|量:liang4|不:bu4|打:da3|扰:rao3|你:ni3|复:fu4|习:xi2|。:,I will try not to disturb you while you study.,5
28,不要擔心。,traditional,不:bu2|要:yao4|擔:dan1|心:xin1|。:,Don't worry.,4
29,我很想你。,neutral,我:wo3|很:hen3|想:xiang3|你:ni3|。:,I miss you a lot.,1
30,我明天回來的時候會跟他們聯絡。,traditional,我:wo3|明:ming2|天:tian1|回:hui2|來:lai2|的:de|時:shi2|候:hou4|會:hui4|跟:gen1|他:ta1|們:men|聯:lian2|絡:luo4|。:,I will contact them when I come back tomorrow.,4
31,我一直都比較喜歡神秘一點的人物。,traditional,我:wo3|一:yi4|直:zhi2|都:dou1|比:bi3|較:jiao4|喜:xi3|歡:huan1|神:shen2|秘:mi4|一:yi1|點:dian3|的:de|人:ren2|物:wu4|。:,I've always preferred more mysterious characters.,4
32,你應該去睡覺了吧。,traditional,你:ni3|應:ying1|該:gai1|去:qu4|睡:shui4|覺:jiao4|了:le|吧:ba|。:,You should go to bed now.,2
33,我要走了。,neutral,我:wo3|要:yao4|走:zou3|了:le|。:,I'm leaving.,1
34,我請他們再寄給我一張票。,traditional,我:wo3|請:qing3|他:ta1|們:men|再:zai4|寄:ji4|給:gei3|我:wo3|一:yi1|張:zhang1|票:piao4|。:,I asked them to send me another ticket.,4
35,我不能这样活着。,simplified,我:wo3|不:bu4|能:neng2|这:zhe4|样:yang4|活:huo2|着:zhe|。:,I can't live like this.,2
36,我曾經想過當個太空物理學家。,traditional,我:wo3|曾:ceng2|經:jing1|想:xiang3|過:guo4|當:dang1|個:ge4|太:tai4|空:kong1|物:wu4|理:li3|學:xue2|家:jia1|。:,I once thought about becoming a space physicist.,3
37,我從來沒喜歡過生物學。,traditional,我:wo3|從:cong2|來:lai2|沒:mei2|喜:xi3|歡:huan1|過:guo4|生:sheng1|物:wu4|學:xue2|。:,I've never liked biology.,2
38,可惜这是真的。,neutral,可:ke3|惜:xi1|这:zhe4|是:shi4|真:zhen1|的:de|。:,"Unfortunately, this is true.",5
39,大部份的人覺得我瘋了。,traditional,大:da4|部:bu4|份:fen4|的:de|人:ren2|覺:jue2|得:de2|我:wo3|瘋:feng1|了:le|。:,Most people think I'm crazy.,5
40,不，我不是！你才是！,neutral,不:bu4|，:|我:wo3|不:bu2|是:shi4|！:|你:ni3|才:cai2|是:shi4|！:,"No, I'm not! You are!",2
41,那是我該說的話!,traditional,那:na4|是:shi4|我:wo3|該:gai1|說:shuo1|的:de|話:hua4|!:,That's what I should say!,2
42,他在踢我！,neutral,他:ta1|在:zai4|踢:ti1|我:wo3|！:,He's kicking me!,6
43,你肯定吗？,simplified,你:ni3|肯:ken3|定:ding4|吗:ma|？:,Are you sure?,5
44,那就表示有問題...,traditional,那:na4|就:jiu4|表:biao3|示:shi4|有:you3|問:wen4|題:ti2|...:,That means there's a problem...,2
45,哦！有一隻蝴蝶！,traditional,哦:o2|！:|有:you3|一:yi1|隻:zhi1|蝴:hu2|蝶:die2|！:,Oh! There's a butterfly!,beyond-hsk
46,趕快!,traditional,趕:gan3|快:kuai4|!:,Hurry up!,3
47,如果我可以像那樣的話...,traditional,如:ru2|果:guo3|我:wo3|可:ke3|以:yi3|像:xiang4|那:na4|樣:yang4|的:de|話:hua4|...:,If I could do that...,2
48,你是在跟我開玩笑吧？！,traditional,你:ni3|是:shi4|在:zai4|跟:gen1|我:wo3|開:kai1|玩:wan2|笑:xiao4|吧:ba|？！:,Are you kidding me?!,1
49,我長大後想當國王。,traditional,我:wo3|長:zhang3|大:da4|後:hou4|想:xiang3|當:dang1|國:guo2|王:wang2|。:,I want to be a king when I grow up.,2
50,我好胖哦。,neutral,我:wo3|好:hao3|胖:pang4|哦:o2|。:,I'm so fat.,7-9
51,那又怎樣?,traditional,那:na4|又:you4|怎:zen3|樣:yang4|?:,So what?,2
52,我要把他射下來。,traditional,我:wo3|要:yao4|把:ba3|他:ta1|射:she4|下:xia4|來:lai2|。:,I want to shoot him down.,5
53,那是因為妳是女生。,traditional,那:na4|是:shi4|因:yin1|為:wei4|妳:ni3|是:shi4|女:nv3|生:sheng1|。:,That's because you are a girl.,beyond-hsk
54,我会不高兴，但我不会自杀。,simplified,我:wo3|会:hui4|不:bu4|高:gao1|兴:xing4|，:|但:dan4|我:wo3|不:bu2|会:hui4|自:zi4|杀:sha1|。:,"I will be unhappy, but I won't commit suicide.",5
55,以前讀高中的時候﹐我每天早上六點起床。,traditional,以:yi3|前:qian2|讀:du2|高:gao1|中:zhong1|的:de|時:shi2|候:hou4|﹐:|我:wo3|每:mei3|天:tian1|早:zao3|上:shang4|六:liu4|點:dian3|起:qi3|床:chuang2|。:,"When I was in high school, I got up at six every morning.",3
56,你問這個幹什麼?,traditional,你:ni3|問:wen4|這:zhe4|個:ge4|幹:gan4|什:shen2|麼:me|?:,Why are you asking this?,1
57,你待了多久?,neutral,你:ni3|待:dai4|了:le|多:duo1|久:jiu3|?:,How long did you stay?,3
58,我不知道它是从哪里来的。,simplified,我:wo3|不:bu4|知:zhi1|道:dao4|它:ta1|是:shi4|从:cong2|哪:na3|里:li3|来:lai2|的:de|。:,I don't know where it came from.,2
59,這個不重要。,traditional,這:zhe4|個:ge4|不:bu4|重:zhong4|要:yao4|。:,This is not important.,1
60,哪裡有問題?,traditional,哪:na3|裡:li3|有:you3|問:wen4|題:ti2|?:,Where is the problem?,2
61,不要再把我当成“正常” 人!,neutral,不:bu2|要:yao4|再:zai4|把:ba3|我:wo3|当:dang4|成:cheng2|“:|正:zheng4|常:chang2|”:|人:ren2|!:,"Don't treat me as a ""normal"" person anymore!",3
62,所有被发明的都是真的。,simplified,所:suo3|有:you3|被:bei4|发:fa1|明:ming2|的:de|都:dou1|是:shi4|真:zhen1|的:de|。:,Everything that has been invented is real.,3
63,感到惊讶、感到惊奇就是明白的开始。,simplified,感:gan3|到:dao4|惊:jing1|讶:ya4|、:|感:gan3|到:dao4|惊:jing1|奇:qi2|就:jiu4|是:shi4|明:ming2|白:bai2|的:de|开:kai1|始:shi3|。:,Feeling surprised and amazed is the beginning of understanding.,7-9
64,宇宙毫无疑问是无限的。,simplified,宇:yu3|宙:zhou4|毫:hao2|无:wu2|疑:yi2|问:wen4|是:shi4|无:wu2|限:xian4|的:de|。:,The universe is undoubtedly infinite.,7-9
65,要变得完美，她就是少了一个缺点。,simplified,要:yao4|变:bian4|得:de2|完:wan2|美:mei3|，:|她:ta1|就:jiu4|是:shi4|少:shao3|了:le|一:yi2|个:ge4|缺:que1|点:dian3|。:,"To be perfect, she just lacks one flaw.",3
66,然而，相反的理论往往也是真的。,simplified,然:ran2|而:er2|，:|相:xiang1|反:fan3|的:de|理:li3|论:lun4|往:wang3|往:wang3|也:ye3|是:shi4|真:zhen1|的:de|。:,"However, the opposite theory is often true as well.",3
67,我们看东西不是看其实质，而是以我们的主观意识看它们的。,simplified,我:wo3|们:men|看:kan4|东:dong1|西:xi1|不:bu2|是:shi4|看:kan4|其:qi2|实:shi2|质:zhi4|，:|而:er2|是:shi4|以:yi3|我:wo3|们:men|的:de|主:zhu3|观:guan1|意:yi4|识:shi2|看:kan4|它:ta1|们:men|的:de|。:,"We don't see things for their essence, but through our subjective consciousness.",4
68,世界就是一个疯子的囚笼。,simplified,世:shi4|界:jie4|就:jiu4|是:shi4|一:yi2|个:ge4|疯:feng1|子:zi|的:de|囚:qiu2|笼:long2|。:,The world is a cage for madmen.,7-9
69,我叫Jack。,neutral,我:wo3|叫:jiao4|Jack:|。:,My name is Jack.,1
70,从来就没有徒劳的爱情。,simplified,从:cong2|来:lai2|就:jiu4|没:mei2|有:you3|徒:tu2|劳:lao2|的:de|爱:ai4|情:qing2|。:,There has never been a futile love.,6
