id,sentence,english,non_hsk_chars,would_be_hsk,before_hsk
45,哦！有一隻蝴蝶！,Oh! There's a butterfly!,蝴|蝶,7-9,7-9
53,那是因為妳是女生。,That's because you are a girl.,妳,2,2
89,正在下雹。,It's hailing.,雹,1,1
194,如何料理黑鲷：做刺身是最好吃的。,How to prepare black sea bream: sashimi is the best way to enjoy it.,鲷,4,4
242,他登上了前往洛杉矶的飞机。,He boarded the plane to Los Angeles.,洛|杉|矶,4,4
271,鲍勃第一个到达终点线。,Bob was the first to reach the finish line.,鲍,7-9,7-9
337,告诉我你对湘南做了什么。,Tell me what you did in Xiangnan.,湘,1,1
377,如果你没有其它可说的，那对我说“嗨，你怎么样？”就毫无意义。,"If you have nothing else to say, then saying ""Hi, how are you?"" to me is meaningless.",嗨,4,4
598,我肯定你会喜欢我们今晚的菜肴。,I'm sure you'll enjoy our dishes tonight.,肴,5,5
663,那个穿棕色大衣的女人是谁？,Who is that woman in the brown coat?,棕,2,2
696,你读给我听的时候，我就可以做缝纫了。,I can sew when you read it to me.,纫,7-9,7-9
711,花园被木栅栏围了起来。,The garden is surrounded by a wooden fence.,栅,6,6
831,比起歌舞伎，我更喜欢能乐表演，因为我觉得后者比前者优雅。,I prefer Noh performances to Kabuki because I find the former more elegant than the latter.,伎,7-9,7-9
838,人们相信鲸有他们自己的语言。,People believe that whales have their own language.,鲸,2,2
852,她老是吹嘘自己是个游泳健将。,She always boasts that she is a swimming champion.,嘘,3,3
1128,你要更好地利用闲暇时间。,You need to make better use of your free time.,暇,5,5
1184,锄强扶弱，惩恶扬善。,Support the weak and punish the wicked.,锄,7-9,7-9
1279,当一个陌生人来和玛丽说话时，她不知道该说什么了。,"When a stranger came to talk to Mary, she didn't know what to say.",玛,7-9,7-9
1292,我被蜜蜂蛰了一下。,I got stung by a bee.,蛰,7-9,7-9
1370,玛丽不穷，相反，她相当富裕。,"Mary is not poor; on the contrary, she is quite wealthy.",玛,7-9,7-9
1377,莎士比亚的麦克白是一部悲剧。,Shakespeare's Macbeth is a tragedy.,莎,6,6
1421,约翰对他的新房子很自豪。,John is proud of his new house.,翰,5,5
1530,“滚石不生苔”是一句谚语。,"""A rolling stone gathers no moss"" is a proverb.",苔|谚,5,5
1539,这种水果形状像橙子，味道像菠萝。,This fruit is shaped like an orange and tastes like pineapple.,菠,7-9,7-9
1598,那不可能是玛丽，她现在在医院。,That can't be Mary; she's in the hospital now.,玛,3,3
1689,我没请他来参加庆祝会，感到有点内疚。,I feel a bit guilty for not inviting him to the celebration.,疚,3,3
1723,美穗是钢琴家。,Meihui is a pianist.,穗,5,5
1761,我对玛丽的帮助表示了感谢。,I expressed my gratitude for Mary's help.,玛,3,3
1768,我等不及想要和我爸爸去狩猎。,I can't wait to go hunting with my dad.,狩,7-9,7-9
