id,char,codepoint,pinyins_tone3,pinyins_display,gloss_en,examples
1,一,U+4E00,yi1|yi2|yi4,yī|yí|yì,one,一一|一一對應|一一对应
2,丁,U+4E01,ding1|zheng1,dīng|zhēng,surname Ding,一丁不識|一丁不识|一丁點
3,丂,U+4E02,kao3|qiao3|yu2,kǎo|qiǎo|yú,"""breath"" or ""sigh"" component in Chinese characters",
4,七,U+4E03,qi1|qi2,qī|qí,seven,七七事變|七七事变|七七八八
5,丄,U+4E04,shang4,shàng,old variant of 上[shang4],
6,丅,U+4E05,xia4,xià,old variant of 下[xia4],
7,丆,U+4E06,han3,hǎn,"one of the characters used in kwukyel (phonetic ""myeon""), an ancient Korean writing system",
8,万,U+4E07,wan4|mo4,wàn|mò,used in 万俟[Mo4 qi2],一夫当关，万夫莫开|一本万利|万俟
9,丈,U+4E08,zhang4,zhàng,"measure of length, ten Chinese feet (3.3 m)",一落千丈|丈二和尚，摸不著頭腦|丈二和尚，摸不着头脑
10,三,U+4E09,san1,sān,surname San,21三體綜合症|21三体综合症|一倡三歎
11,上,U+4E0A,shang4|shang3,shàng|shǎng,used in 上聲|上声[shang3 sheng1],一哭二鬧三上吊|一哭二闹三上吊|一擁而上
12,下,U+4E0B,xia4,xià,down,一下|一下兒|一下儿
13,丌,U+4E0C,ji1|qi2,jī|qí,surname Ji,
14,不,U+4E0D,bu4|fou3|fou1|fu1|bu2,bù|fǒu|fōu|fū|bú,no; not so,一丁不識|一丁不识|一不做，二不休
15,与,U+4E0E,yu3|yu4|yu2,yǔ|yù|yú,variant of 歟|欤[yu2],事与愿违|交与|信息与通讯技术
16,丏,U+4E0F,mian3,miǎn,hidden from view,
17,丐,U+4E10,gai4,gài,to beg for alms,丐幫|丐帮|丐版
18,丑,U+4E11,chou3,chǒu,surname Chou,丁丑|丑時|丑时
19,丒,U+4E12,chou3,chǒu,variant of 醜|丑[chou3],
20,专,U+4E13,zhuan1,zhuān,"for a particular person, occasion, purpose",一党专制|不敢自专|中央专制集权
21,且,U+4E14,qie3|ju1|cu2,qiě|jū|cú,and,且不說|且不说|且休
22,丕,U+4E15,pi1,pī,grand,丕變|丕变|曹丕
23,世,U+4E16,shi4,shì,surname Shi,一世|一生一世|三世
24,丗,U+4E17,shi4,shì,old variant of 世[shi4],
