id,sentence,script_type,char_pinyin_pairs
1,我們試試看！,traditional,我:wo3|們:men|試:shi4|試:shi4|看:kan4|！:
2,我该去睡觉了。,simplified,我:wo3|该:gai1|去:qu4|睡:shui4|觉:jiao4|了:le|。:
3,你在干什麼啊？,traditional,你:ni3|在:zai4|干:gan4|什:shen2|麼:me|啊:a|？:
4,這是什麼啊？,traditional,這:zhe4|是:shi4|什:shen2|麼:me|啊:a|？:
5,今天是６月１８号，也是Muiriel的生日！,neutral,今:jin1|天:tian1|是:shi4|６:|月:yue4|１８:|号:hao4|，:|也:ye3|是:shi4|Muiriel:|的:de|生:sheng1|日:ri4|！:
6,生日快乐，Muiriel！,neutral,生:sheng1|日:ri4|快:kuai4|乐:le4|，:|Muiriel:|！:
7,Muiriel现在20岁了。,simplified,Muiriel:|现:xian4|在:zai4|20:|岁:sui4|了:le|。:
8,"密码是""Muiriel""。",simplified,"密:mi4|码:ma3|是:shi4|"":|Muiriel:|"":|。:"
9,我很快就會回來。,traditional,我:wo3|很:hen3|快:kuai4|就:jiu4|會:hui4|回:hui2|來:lai2|。:
10,我不知道。,neutral,我:wo3|不:bu4|知:zhi1|道:dao4|。:
11,我不知道應該說什麼才好。,traditional,我:wo3|不:bu4|知:zhi1|道:dao4|應:ying1|該:gai1|說:shuo1|什:shen2|麼:me|才:cai2|好:hao3|。:
12,這個永遠完不了了。,traditional,這:zhe4|個:ge4|永:yong3|遠:yuan3|完:wan2|不:bu4|了:liao3|了:le|。:
13,我只是不知道應該說什麼而已……,traditional,我:wo3|只:zhi3|是:shi4|不:bu4|知:zhi1|道:dao4|應:ying1|該:gai1|說:shuo1|什:shen2|麼:me|而:er2|已:yi3|…:|…:
14,那是一隻有惡意的兔子。,traditional,那:na4|是:shi4|一:yi1|隻:zhi1|有:you3|惡:e4|意:yi4|的:de|兔:tu4|子:zi|。:
15,我以前在山里。,neutral,我:wo3|以:yi3|前:qian2|在:zai4|山:shan1|里:li3|。:
16,那是一张近照吗？,simplified,那:na4|是:shi4|一:yi1|张:zhang1|近:jin4|照:zhao4|吗:ma|？:
17,我不知道我有沒有時間。,traditional,我:wo3|不:bu4|知:zhi1|道:dao4|我:wo3|有:you3|沒:mei2|有:you3|時:shi2|間:jian1|。:
18,剛才我的麥克風沒起作用，不知道為什麼。,traditional,剛:gang1|才:cai2|我:wo3|的:de|麥:mai4|克:ke4|風:feng1|沒:mei2|起:qi3|作:zuo4|用:yong4|，:|不:bu4|知:zhi1|道:dao4|為:wei4|什:shen2|麼:me|。:
19,到了最後，大家一定要靠自己學習。,traditional,到:dao4|了:le|最:zui4|後:hou4|，:|大:da4|家:jia1|一:yi2|定:ding4|要:yao4|靠:kao4|自:zi4|己:ji3|學:xue2|習:xi2|。:
20,世界上的教育都讓我失望。,traditional,世:shi4|界:jie4|上:shang4|的:de|教:jiao4|育:yu4|都:dou1|讓:rang4|我:wo3|失:shi1|望:wang4|。:
21,选择什么是“对”或“错”是一项艰难的任务，我们却必须要完成它。,simplified,选:xuan3|择:ze2|什:shen2|么:me|是:shi4|“:|对:dui4|”:|或:huo4|“:|错:cuo4|”:|是:shi4|一:yi1|项:xiang4|艰:jian1|难:nan2|的:de|任:ren4|务:wu4|，:|我:wo3|们:men|却:que4|必:bi4|须:xu1|要:yao4|完:wan2|成:cheng2|它:ta1|。:
22,這樣做的話什麼都不會改變的。,traditional,這:zhe4|樣:yang4|做:zuo4|的:de|話:hua4|什:shen2|麼:me|都:dou1|不:bu4|會:hui4|改:gai3|變:bian4|的:de|。:
23,這個要三十歐元。,traditional,這:zhe4|個:ge4|要:yao4|三:san1|十:shi2|歐:ou1|元:yuan2|。:
24,我一天賺一百歐元。,traditional,我:wo3|一:yi1|天:tian1|賺:zhuan4|一:yi4|百:bai3|歐:ou1|元:yuan2|。:
25,也许我会马上放弃然后去打盹。,simplified,也:ye3|许:xu3|我:wo3|会:hui4|马:ma3|上:shang4|放:fang4|弃:qi4|然:ran2|后:hou4|去:qu4|打:da3|盹:dun3|。:
26,那是不會發生的。,traditional,那:na4|是:shi4|不:bu4|會:hui4|發:fa1|生:sheng1|的:de|。:
27,我会尽量不打扰你复习。,simplified,我:wo3|会:hui4|尽:jin3|量:liang4|不:bu4|打:da3|扰:rao3|你:ni3|复:fu4|习:xi2|。:
28,不要擔心。,traditional,不:bu2|要:yao4|擔:dan1|心:xin1|。:
29,我很想你。,neutral,我:wo3|很:hen3|想:xiang3|你:ni3|。:
30,我明天回來的時候會跟他們聯絡。,traditional,我:wo3|明:ming2|天:tian1|回:hui2|來:lai2|的:de|時:shi2|候:hou4|會:hui4|跟:gen1|他:ta1|們:men|聯:lian2|絡:luo4|。:
31,我一直都比較喜歡神秘一點的人物。,traditional,我:wo3|一:yi4|直:zhi2|都:dou1|比:bi3|較:jiao4|喜:xi3|歡:huan1|神:shen2|秘:mi4|一:yi1|點:dian3|的:de|人:ren2|物:wu4|。:
32,你應該去睡覺了吧。,traditional,你:ni3|應:ying1|該:gai1|去:qu4|睡:shui4|覺:jue2|了:le|吧:ba|。:
33,我要走了。,neutral,我:wo3|要:yao4|走:zou3|了:le|。:
34,我請他們再寄給我一張票。,traditional,我:wo3|請:qing3|他:ta1|們:men|再:zai4|寄:ji4|給:gei3|我:wo3|一:yi1|張:zhang1|票:piao4|。:
35,我不能这样活着。,simplified,我:wo3|不:bu4|能:neng2|这:zhe4|样:yang4|活:huo2|着:zhe|。:
36,我曾經想過當個太空物理學家。,traditional,我:wo3|曾:ceng2|經:jing1|想:xiang3|過:guo4|當:dang1|個:ge4|太:tai4|空:kong1|物:wu4|理:li3|學:xue2|家:jia1|。:
37,我從來沒喜歡過生物學。,traditional,我:wo3|從:cong2|來:lai2|沒:mei2|喜:xi3|歡:huan1|過:guo4|生:sheng1|物:wu4|學:xue2|。:
38,可惜这是真的。,neutral,可:ke3|惜:xi1|这:zhe4|是:shi4|真:zhen1|的:de|。:
39,大部份的人覺得我瘋了。,traditional,大:da4|部:bu4|份:fen4|的:de|人:ren2|覺:jue2|得:de2|我:wo3|瘋:feng1|了:le|。:
40,不，我不是！你才是！,neutral,不:bu4|，:|我:wo3|不:bu2|是:shi4|！:|你:ni3|才:cai2|是:shi4|！:
41,那是我該說的話!,traditional,那:na4|是:shi4|我:wo3|該:gai1|說:shuo1|的:de|話:hua4|!:
42,他在踢我！,neutral,他:ta1|在:zai4|踢:ti1|我:wo3|！:
43,你肯定吗？,simplified,你:ni3|肯:ken3|定:ding4|吗:ma|？:
44,那就表示有問題...,traditional,那:na4|就:jiu4|表:biao3|示:shi4|有:you3|問:wen4|題:ti2|...:
45,哦！有一隻蝴蝶！,traditional,哦:o2|！:|有:you3|一:yi1|隻:zhi1|蝴:hu2|蝶:die2|！:
46,趕快!,traditional,趕:gan3|快:kuai4|!:
47,如果我可以像那樣的話...,traditional,如:ru2|果:guo3|我:wo3|可:ke3|以:yi3|像:xiang4|那:na4|樣:yang4|的:de|話:hua4|...:
48,你是在跟我開玩笑吧？！,traditional,你:ni3|是:shi4|在:zai4|跟:gen1|我:wo3|開:kai1|玩:wan2|笑:xiao4|吧:ba|？！:
49,我長大後想當國王。,traditional,我:wo3|長:zhang3|大:da4|後:hou4|想:xiang3|當:dang1|國:guo2|王:wang2|。:
50,我好胖哦。,neutral,我:wo3|好:hao3|胖:pang4|哦:o2|。:
51,那又怎樣?,traditional,那:na4|又:you4|怎:zen3|樣:yang4|?:
52,我要把他射下來。,traditional,我:wo3|要:yao4|把:ba3|他:ta1|射:she4|下:xia4|來:lai2|。:
53,那是因為妳是女生。,traditional,那:na4|是:shi4|因:yin1|為:wei4|妳:ni3|是:shi4|女:nv3|生:sheng1|。:
54,我会不高兴，但我不会自杀。,simplified,我:wo3|会:hui4|不:bu4|高:gao1|兴:xing4|，:|但:dan4|我:wo3|不:bu2|会:hui4|自:zi4|杀:sha1|。:
55,以前讀高中的時候﹐我每天早上六點起床。,traditional,以:yi3|前:qian2|讀:du2|高:gao1|中:zhong1|的:de|時:shi2|候:hou4|﹐:|我:wo3|每:mei3|天:tian1|早:zao3|上:shang4|六:liu4|點:dian3|起:qi3|床:chuang2|。:
56,你問這個幹什麼?,traditional,你:ni3|問:wen4|這:zhe4|個:ge4|幹:gan4|什:shen2|麼:me|?:
57,你待了多久?,neutral,你:ni3|待:dai4|了:le|多:duo1|久:jiu3|?:
58,我不知道它是从哪里来的。,simplified,我:wo3|不:bu4|知:zhi1|道:dao4|它:ta1|是:shi4|从:cong2|哪:na3|里:li3|来:lai2|的:de|。:
59,這個不重要。,traditional,這:zhe4|個:ge4|不:bu4|重:zhong4|要:yao4|。:
60,哪裡有問題?,traditional,哪:na3|裡:li3|有:you3|問:wen4|題:ti2|?:
61,不要再把我当成“正常” 人!,neutral,不:bu2|要:yao4|再:zai4|把:ba3|我:wo3|当:dang4|成:cheng2|“:|正:zheng4|常:chang2|”:|人:ren2|!:
62,所有被发明的都是真的。,simplified,所:suo3|有:you3|被:bei4|发:fa1|明:ming2|的:de|都:dou1|是:shi4|真:zhen1|的:de|。:
63,感到惊讶、感到惊奇就是明白的开始。,simplified,感:gan3|到:dao4|惊:jing1|讶:ya4|、:|感:gan3|到:dao4|惊:jing1|奇:qi2|就:jiu4|是:shi4|明:ming2|白:bai2|的:de|开:kai1|始:shi3|。:
64,宇宙毫无疑问是无限的。,simplified,宇:yu3|宙:zhou4|毫:hao2|无:wu2|疑:yi2|问:wen4|是:shi4|无:wu2|限:xian4|的:de|。:
65,要变得完美，她就是少了一个缺点。,simplified,要:yao4|变:bian4|得:de2|完:wan2|美:mei3|，:|她:ta1|就:jiu4|是:shi4|少:shao3|了:le|一:yi2|个:ge4|缺:que1|点:dian3|。:
66,然而，相反的理论往往也是真的。,simplified,然:ran2|而:er2|，:|相:xiang1|反:fan3|的:de|理:li3|论:lun4|往:wang3|往:wang3|也:ye3|是:shi4|真:zhen1|的:de|。:
67,我们看东西不是看其实质，而是以我们的主观意识看它们的。,simplified,我:wo3|们:men|看:kan4|东:dong1|西:xi1|不:bu2|是:shi4|看:kan4|其:qi2|实:shi2|质:zhi4|，:|而:er2|是:shi4|以:yi3|我:wo3|们:men|的:de|主:zhu3|观:guan1|意:yi4|识:shi2|看:kan4|它:ta1|们:men|的:de|。:
68,世界就是一个疯子的囚笼。,simplified,世:shi4|界:jie4|就:jiu4|是:shi4|一:yi2|个:ge4|疯:feng1|子:zi|的:de|囚:qiu2|笼:long2|。:
69,我叫Jack。,neutral,我:wo3|叫:jiao4|Jack:|。:
70,从来就没有徒劳的爱情。,simplified,从:cong2|来:lai2|就:jiu4|没:mei2|有:you3|徒:tu2|劳:lao2|的:de|爱:ai4|情:qing2|。:
71,生活就是當你忙著進行你的計劃時總有其他的事情發生。,traditional,生:sheng1|活:huo2|就:jiu4|是:shi4|當:dang1|你:ni3|忙:mang2|著:zhu4|進:jin4|行:xing2|你:ni3|的:de|計:ji4|劃:hua4|時:shi2|總:zong3|有:you3|其:qi2|他:ta1|的:de|事:shi4|情:qing2|發:fa1|生:sheng1|。:
72,没有欲望就等于拥有。,simplified,没:mei2|有:you3|欲:yu4|望:wang4|就:jiu4|等:deng3|于:yu2|拥:yong1|有:you3|。:
73,聖誕節快樂！,traditional,聖:sheng4|誕:dan4|節:jie2|快:kuai4|樂:le4|！:
74,罗马不是一天建成的。,simplified,罗:luo2|马:ma3|不:bu2|是:shi4|一:yi1|天:tian1|建:jian4|成:cheng2|的:de|。:
75,你是从哪个国家来的？,simplified,你:ni3|是:shi4|从:cong2|哪:na3|个:ge|国:guo2|家:jia1|来:lai2|的:de|？:
76,我已经看过这部电影了。,simplified,我:wo3|已:yi3|经:jing1|看:kan4|过:guo4|这:zhe4|部:bu4|电:dian4|影:ying3|了:le|。:
77,墨西哥有很多贫民窟。,simplified,墨:mo4|西:xi1|哥:ge1|有:you3|很:hen3|多:duo1|贫:pin2|民:min2|窟:ku1|。:
78,这间房间朝向很好。,simplified,这:zhe4|间:jian1|房:fang2|间:jian1|朝:chao2|向:xiang4|很:hen3|好:hao3|。:
79,你知不知道他们是谁?,simplified,你:ni3|知:zhi1|不:bu4|知:zhi1|道:dao4|他:ta1|们:men|是:shi4|谁:shui2|?:
80,你骗人！,simplified,你:ni3|骗:pian4|人:ren2|！:
81,他也会说法语。,simplified,他:ta1|也:ye3|会:hui4|说:shuo1|法:fa3|语:yu3|。:
82,我会说法语。,simplified,我:wo3|会:hui4|说:shuo1|法:fa3|语:yu3|。:
83,我收到了请帖。,simplified,我:wo3|收:shou1|到:dao4|了:le|请:qing3|帖:tie3|。:
84,你住在哪里？,neutral,你:ni3|住:zhu4|在:zai4|哪:na3|里:li3|？:
85,你记不记得我们认识的那一天？,simplified,你:ni3|记:ji4|不:bu4|记:ji4|得:de|我:wo3|们:men|认:ren4|识:shi2|的:de|那:na4|一:yi1|天:tian1|？:
86,他住在这里吗？,simplified,他:ta1|住:zhu4|在:zai4|这:zhe4|里:li3|吗:ma|？:
87,火车站离这里不远。,simplified,火:huo3|车:che1|站:zhan4|离:li2|这:zhe4|里:li3|不:bu4|远:yuan3|。:
88,火车站在哪里?,simplified,火:huo3|车:che1|站:zhan4|在:zai4|哪:na3|里:li3|?:
89,正在下雹。,neutral,正:zheng4|在:zai4|下:xia4|雹:bao2|。:
90,我爱你。,simplified,我:wo3|爱:ai4|你:ni3|。:
91,我喜欢旅行。,neutral,我:wo3|喜:xi3|欢:huan1|旅:lv3|行:xing2|。:
92,我很期待去旅游.,neutral,我:wo3|很:hen3|期:qi1|待:dai4|去:qu4|旅:lv3|游:you2|.:
93,我在旅行社工作.,neutral,我:wo3|在:zai4|旅:lv3|行:xing2|社:she4|工:gong1|作:zuo4|.:
94,我跟父母住在一起.,neutral,我:wo3|跟:gen1|父:fu4|母:mu3|住:zhu4|在:zai4|一:yi4|起:qi3|.:
95,他没有孩子。,neutral,他:ta1|没:mei2|有:you3|孩:hai2|子:zi|。:
96,这是我的妈妈。,simplified,这:zhe4|是:shi4|我:wo3|的:de|妈:ma1|妈:ma1|。:
97,以后再讲。,simplified,以:yi3|后:hou4|再:zai4|讲:jiang3|。:
98,我真的不知道。,neutral,我:wo3|真:zhen1|的:de|不:bu4|知:zhi1|道:dao4|。:
99,人人都愿意相信美梦可以成真。,neutral,人:ren2|人:ren2|都:dou1|愿:yuan4|意:yi4|相:xiang1|信:xin4|美:mei3|梦:meng4|可:ke3|以:yi3|成:cheng2|真:zhen1|。:
100,十分感谢。,simplified,十:shi2|分:fen1|感:gan3|谢:xie4|。:
101,我跟父母联络了一下。,simplified,我:wo3|跟:gen1|父:fu4|母:mu3|联:lian2|络:luo4|了:le|一:yi1|下:xia4|。:
102,我跟父母讲了留学的事情。,simplified,我:wo3|跟:gen1|父:fu4|母:mu3|讲:jiang3|了:le|留:liu2|学:xue2|的:de|事:shi4|情:qing2|。:
103,我把旅费耗光了。,simplified,我:wo3|把:ba3|旅:lv3|费:fei4|耗:hao4|光:guang1|了:le|。:
104,我在旅行中用了地图。,neutral,我:wo3|在:zai4|旅:lv3|行:xing2|中:zhong1|用:yong4|了:le|地:di4|图:tu2|。:
105,我不够钱去旅行。,simplified,我:wo3|不:bu4|够:gou4|钱:qian2|去:qu4|旅:lv3|行:xing2|。:
106,他喜欢旅行。我也是。,neutral,他:ta1|喜:xi3|欢:huan1|旅:lv3|行:xing2|。:|我:wo3|也:ye3|是:shi4|。:
107,今天是几月几号？,neutral,今:jin1|天:tian1|是:shi4|几:ji3|月:yue4|几:ji3|号:hao4|？:
108,我收到了一张请帖。,simplified,我:wo3|收:shou1|到:dao4|了:le|一:yi1|张:zhang1|请:qing3|帖:tie3|。:
109,她半年后就要出国了。,simplified,她:ta1|半:ban4|年:nian2|后:hou4|就:jiu4|要:yao4|出:chu1|国:guo2|了:le|。:
110,很少人这么认为。,simplified,很:hen3|少:shao3|人:ren2|这:zhe4|么:me|认:ren4|为:wei2|。:
111,这周我一直在工作。,neutral,这:zhe4|周:zhou1|我:wo3|一:yi4|直:zhi2|在:zai4|工:gong1|作:zuo4|。:
112,我和她外出了几个月。,neutral,我:wo3|和:he2|她:ta1|外:wai4|出:chu1|了:le|几:ji3|个:ge4|月:yue4|。:
113,明天下午之前我会把它完成。,neutral,明:ming2|天:tian1|下:xia4|午:wu3|之:zhi1|前:qian2|我:wo3|会:hui4|把:ba3|它:ta1|完:wan2|成:cheng2|。:
114,自己动手真好。,neutral,自:zi4|己:ji3|动:dong4|手:shou3|真:zhen1|好:hao3|。:
115,那个发现纯属偶然。,simplified,那:na4|个:ge|发:fa1|现:xian4|纯:chun2|属:shu3|偶:ou3|然:ran2|。:
116,在英国的时候，我经常看参考书。,simplified,在:zai4|英:ying1|国:guo2|的:de|时:shi2|候:hou4|，:|我:wo3|经:jing1|常:chang2|看:kan4|参:can1|考:kao3|书:shu1|。:
117,我弟弟会经常彻夜不睡。,simplified,我:wo3|弟:di4|弟:di|会:hui4|经:jing1|常:chang2|彻:che4|夜:ye4|不:bu4|睡:shui4|。:
118,你不得不制造一些借口。,neutral,你:ni3|不:bu4|得:de2|不:bu4|制:zhi4|造:zao4|一:yi1|些:xie1|借:jie4|口:kou3|。:
119,她可能出什么事了。,neutral,她:ta1|可:ke3|能:neng2|出:chu1|什:shen2|么:me|事:shi4|了:le|。:
120,你参加社团活动吗？,simplified,你:ni3|参:can1|加:jia1|社:she4|团:tuan2|活:huo2|动:dong4|吗:ma|？:
121,我找到那把我一直在找的钥匙了。,simplified,我:wo3|找:zhao3|到:dao4|那:na4|把:ba3|我:wo3|一:yi4|直:zhi2|在:zai4|找:zhao3|的:de|钥:yao4|匙:shi|了:le|。:
122,我丢了我的伞。,simplified,我:wo3|丢:diu1|了:le|我:wo3|的:de|伞:san3|。:
123,她是他的一切。,neutral,她:ta1|是:shi4|他:ta1|的:de|一:yi1|切:qie4|。:
124,接电话。,simplified,接:jie1|电:dian4|话:hua4|。:
125,我在报纸上看到了它。,simplified,我:wo3|在:zai4|报:bao4|纸:zhi3|上:shang4|看:kan4|到:dao4|了:le|它:ta1|。:
126,请把它充入我的账户。,simplified,请:qing3|把:ba3|它:ta1|充:chong1|入:ru4|我:wo3|的:de|账:zhang4|户:hu4|。:
127,雨不停，我们不会出去。,simplified,雨:yu3|不:bu4|停:ting2|，:|我:wo3|们:men|不:bu2|会:hui4|出:chu1|去:qu4|。:
128,这和我那本是同一本书。,simplified,这:zhe4|和:he2|我:wo3|那:na4|本:ben3|是:shi4|同:tong2|一:yi1|本:ben3|书:shu1|。:
129,他们是热爱和平的人。,simplified,他:ta1|们:men|是:shi4|热:re4|爱:ai4|和:he2|平:ping2|的:de|人:ren2|。:
130,我觉得你说的是真的。,simplified,我:wo3|觉:jue2|得:de|你:ni3|说:shuo1|的:de|是:shi4|真:zhen1|的:de|。:
131,可以原谅我吗？,simplified,可:ke3|以:yi3|原:yuan2|谅:liang4|我:wo3|吗:ma|？:
132,我们没机会赢那些一流选手。,simplified,我:wo3|们:men|没:mei2|机:ji1|会:hui4|赢:ying2|那:na4|些:xie1|一:yi4|流:liu2|选:xuan3|手:shou3|。:
133,他发誓要戒烟。,simplified,他:ta1|发:fa1|誓:shi4|要:yao4|戒:jie4|烟:yan1|。:
134,在明天前完成报告几乎是不可能的。,neutral,在:zai4|明:ming2|天:tian1|前:qian2|完:wan2|成:cheng2|报:bao4|告:gao4|几:ji1|乎:hu1|是:shi4|不:bu4|可:ke3|能:neng2|的:de|。:
135,他昨天看了一部最有趣的小说。,simplified,他:ta1|昨:zuo2|天:tian1|看:kan4|了:le|一:yi1|部:bu4|最:zui4|有:you3|趣:qu4|的:de|小:xiao3|说:shuo1|。:
